adrenaline-rush-red	Adrenaline Rush	1	2	4	2	Action	Attack	Generic		When you play this, if you have less {h} than an opposing hero, this gets +3{p}.
adrenaline-rush-yellow	Adrenaline Rush	2	2	3	2	Action	Attack	Generic		When you play this, if you have less {h} than an opposing hero, this gets +3{p}.
adrenaline-rush-blue	Adrenaline Rush	3	2	2	2	Action	Attack	Generic		When you play this, if you have less {h} than an opposing hero, this gets +3{p}.
aether-crackers	Aether Crackers				0	Equipment	Arms	Runeblade		When an attack you control hits a hero, you may destroy this. If you do, deal 1 arcane damage to them.
aether-ironweave	Aether Ironweave				1	Equipment	Chest	Runeblade		**Action** - Destroy Aether Ironweave: Gain {r}{r}. Activate this ability only if you have played an attack action card and a 'non-attack' action card this turn. **Go again** **Battleworn**
aether-slash-red	Aether Slash	1	1	4	3	Action	Attack	Runeblade		When Aether Slash attacks, if a 'non-attack' action card was pitched to play it, deal 1 arcane damage to any target.
aether-slash-yellow	Aether Slash	2	1	3	3	Action	Attack	Runeblade		When Aether Slash attacks, if a 'non-attack' action card was pitched to play it, deal 1 arcane damage to any target.
aether-slash-blue	Aether Slash	3	1	2	3	Action	Attack	Runeblade		When Aether Slash attacks, if a 'non-attack' action card was pitched to play it, deal 1 arcane damage to any target.
agility	Agility					Token	Aura	Generic		At the start of your turn, destroy this, then your next attack this turn gets **go again**.
amethyst-amulet-blue	Amethyst Amulet	3	0			Action	Item|NonAttack	Generic		**Instant** - Destroy this: Your next attack this turn gets +2{p}. **Legend of the Watery Grave**
amethyst-tiara	Amethyst Tiara				1	Equipment	Head	Runeblade		**Instant** - Destroy Amethyst Tiara: Runechants you control have **spellvoid 1** this turn. **Blade Break**
amnesia-red	Amnesia	1	2	6	3	Action	Attack	Generic		When this hits a hero, cards and tokens they own lose and can't gain names until the start of your next turn.
amplify-the-arknight-red	Amplify the Arknight	1	3	6	3	Action	Attack	Runeblade		This costs {r} less to play for each Runechant you control.
amplify-the-arknight-yellow	Amplify the Arknight	2	3	5	3	Action	Attack	Runeblade		Amplify the Arknight costs {r} less to play for each Runechant you control.
amplify-the-arknight-blue	Amplify the Arknight	3	3	4	3	Action	Attack	Runeblade		This costs {r} less to play for each Runechant you control.
amulet-of-assertiveness-yellow	Amulet of Assertiveness	2	0			Action	Item|NonAttack	Generic		**Go again** **Attack Reaction** - Destroy Amulet of Assertiveness: Target attack gains "When this hits, banish the top card of your deck. If it's an attack action card, you may play it this turn." Activate this ability only if you have 4 or more cards in hand.
amulet-of-echoes-blue	Amulet of Echoes	3	0			Action	Item|NonAttack	Generic		**Go again** **Instant** - Destroy Amulet of Echoes: Target hero discards 2 cards. Activate this ability only if they have played 2 or more cards with the same name this turn.
amulet-of-havencall-blue	Amulet of Havencall	3	0			Action	Item|NonAttack	Generic		**Go again** **Defense Reaction** - Destroy Amulet of Havencall: Search your deck for a card named Rally the Rearguard, add it to this chain link as a defending card, then shuffle. Activate this ability only if you have no cards in hand.
amulet-of-ignition-yellow	Amulet of Ignition	2	0			Action	Item|NonAttack	Generic		**Go again** **Instant** - Destroy Amulet of Ignition: The next ability you activate this turn costs {r} less. Activate this ability only if you haven't played a card or activated an ability this turn.
amulet-of-intervention-blue	Amulet of Intervention	3	0			Action	Item|NonAttack	Generic		**Go again** **Instant** - Destroy Amulet of Intervention: Prevent the next 1 damage that would be dealt to your hero this turn. Activate this ability only while your hero is the target of a source that would deal damage equal to or greater than your hero's {h}.
amulet-of-lightning-blue	Amulet of Lightning	3	0			Action	Item|NonAttack	NotClassed	Lightning	**Go again** **Instant** - Destroy Amulet of Lightning: Target action card gains **go again**. Activate this ability only if you have Lightning **fused** this turn.
amulet-of-oblation-blue	Amulet of Oblation	3	0			Action	Item|NonAttack	Generic		**Go again** **Instant** - Destroy Amulet of Oblation: Until end of turn, target attack action gains "If this would be put into a graveyard, instead put it on the bottom of its owner's deck." Activate this ability only if a card has entered a graveyard this turn.
annals-of-sutcliffe	Annals of Sutcliffe					Weapon	TwoHanded|Book	Runeblade		**Once per Turn Action** - {r}{r}{r}: Draw a card. If an attack action card and a 'non-attack' action card were pitched this way, create a Runechant token.
arc-lightning-yellow	Arc Lightning	2	0		2	Action	NonAttack	Runeblade	Lightning	**Aurora Specialization** Whenever you **go again** this turn, deal 1 arcane damage to any target. The next action card you play this turn gets **go again**. **Go again**
arcane-compliance-blue	Arcane Compliance	3	0			Instant		Generic		Until end of turn, effects can't increase arcane damage that target action card on the stack would deal.
arcane-cussing-red	Arcane Cussing	1	1		2	Action	Aura|NonAttack	Runeblade		**Go again** When you deal or are dealt damage, destroy this. When this leaves the arena during your turn, create 3 Runechant tokens.
arcane-cussing-yellow	Arcane Cussing	2	1		2	Action	Aura|NonAttack	Runeblade		**Go again** When you deal or are dealt damage, destroy this. When this leaves the arena during your turn, create 2 Runechant tokens.
arcane-cussing-blue	Arcane Cussing	3	1		2	Action	Aura|NonAttack	Runeblade		**Go again** When you deal or are dealt damage, destroy this. When this leaves the arena during your turn, create a Runechant token.
arcane-lantern	Arcane Lantern					Equipment	OffHand	Generic		**Arcane Barrier 1**
arcane-polarity-red	Arcane Polarity	1	0			Instant		Generic		Gain 1{h} If you've been dealt arcane damage this turn, instead gain 4{h}.
arcane-polarity-yellow	Arcane Polarity	2	0			Instant		Generic		Gain 1{h} If you've been dealt arcane damage this turn, instead gain 3{h}.
arcane-polarity-blue	Arcane Polarity	3	0			Instant		Generic		Gain 1{h} If you've been dealt arcane damage this turn, instead gain 2{h}.
arcanic-crackle-red	Arcanic Crackle	1	0	3	3	Action	Attack	Runeblade		Deal 1 arcane damage to target hero.
arcanic-crackle-yellow	Arcanic Crackle	2	0	2	3	Action	Attack	Runeblade		Deal 1 arcane damage to target hero.
arcanic-crackle-blue	Arcanic Crackle	3	0	1	3	Action	Attack	Runeblade		Deal 1 arcane damage to target hero.
arcanic-cunning-red	Arcanic Cunning	1	0	4	3	Action	Attack	Runeblade		While this is attacking, defending, or on the stack, if you would be dealt arcane damage, prevent 1 of that damage.
arcanic-cunning-yellow	Arcanic Cunning	2	0	3	3	Action	Attack	Runeblade		While this is attacking, defending, or on the stack, if you would be dealt arcane damage, prevent 1 of that damage.
arcanic-cunning-blue	Arcanic Cunning	3	0	2	3	Action	Attack	Runeblade		While this is attacking, defending, or on the stack, if you would be dealt arcane damage, prevent 1 of that damage.
arcanic-reproach-blue	Arcanic Reproach	3	0		3	Instant	Aura	Runeblade	Lightning	The first time an opposing hero deals damage to you each turn, you may reveal a Lightning card from your hand. If you do, deal 1 arcane damage to them. At the start of your action phase, destroy an aura you control.
arcanic-spike-red	Arcanic Spike	1	2	5	3	Action	Attack	Runeblade		If you've dealt arcane damage this turn, this gets +2{p}.
arcanic-spike-yellow	Arcanic Spike	2	2	4	3	Action	Attack	Runeblade		If you've dealt arcane damage this turn, this gets +2{p}.
arcanic-spike-blue	Arcanic Spike	3	2	3	3	Action	Attack	Runeblade		If you've dealt arcane damage this turn, this gets +2{p}.
arcanite-fortress	Arcanite Fortress					Equipment	Chest	Generic		This card's {d} is equal to the number of equipment you control with Arcanite in their name. **Spellvoid X**, where X is the number of equipment you control with Arcanite in their name. **Guardwell**
arcanite-skullcap	Arcanite Skullcap				1	Equipment	Head	Generic		If you have less {h} than your opponent, Arcanite Skullcap gains +1{d} and **Arcane Barrier 3**. **Battleworn**
